Año,Trimestre,Provincia,Accesos por cada 100 hogares
1970-01-01 00:00:00.000002019,1,Jujuy,"46,41"
1970-01-01 00:00:00.000002019,1,La Pampa,"76,35"
1970-01-01 00:00:00.000002019,1,La Rioja,"50,18"
1970-01-01 00:00:00.000002019,1,Mendoza,"37,66"
1970-01-01 00:00:00.000002019,1,Misiones,"36,26"
1970-01-01 00:00:00.000002019,1,Neuquén,"58,88"
1970-01-01 00:00:00.000002019,1,Río Negro,"53,57"
1970-01-01 00:00:00.000002019,1,Salta,"40,1"
1970-01-01 00:00:00.000002019,1,San Juan,"31,83"
1970-01-01 00:00:00.000002019,1,San Luis,"67,34"
1970-01-01 00:00:00.000002019,1,Santa Cruz,"23,67"
1970-01-01 00:00:00.000002019,1,Santa Fe,"66,97"
1970-01-01 00:00:00.000002019,1,Santiago Del Estero,"37,52"
1970-01-01 00:00:00.000002019,1,Tierra Del Fuego,"93,38"
1970-01-01 00:00:00.000002019,1,Tucumán,"41,63"
1970-01-01 00:00:00.000002018,4,Buenos Aires,"64,6"
1970-01-01 00:00:00.000002018,4,Capital Federal,"108,27"
1970-01-01 00:00:00.000002018,4,Catamarca,"32,23"
1970-01-01 00:00:00.000002018,4,Chaco,"32,59"
1970-01-01 00:00:00.000002018,4,Chubut,"42,61"
1970-01-01 00:00:00.000002018,4,Córdoba,"65,09"
1970-01-01 00:00:00.000002018,4,Corrientes,"34,57"
1970-01-01 00:00:00.000002018,4,Entre Ríos,"54,37"
1970-01-01 00:00:00.000002018,4,Formosa,"29,74"
1970-01-01 00:00:00.000002018,4,Jujuy,"46,53"
1970-01-01 00:00:00.000002018,4,La Pampa,"73,49"
1970-01-01 00:00:00.000002018,4,La Rioja,"50,35"
1970-01-01 00:00:00.000002018,4,Mendoza,"37,76"
1970-01-01 00:00:00.000002018,4,Misiones,"34,45"
1970-01-01 00:00:00.000002018,4,Neuquén,"59,07"
1970-01-01 00:00:00.000002018,4,Río Negro,"51,86"
1970-01-01 00:00:00.000002018,4,Salta,"39,8"
1970-01-01 00:00:00.000002018,4,San Juan,"31,9"
1970-01-01 00:00:00.000002018,4,San Luis,"67,55"
